State,District,Season,Year,Crop,Area_Ha,Production_Ton,Yield_TonHa
Gujarat,Aravalli,Kharif,2018 - 2019,Arhar/Tur,5512.0,5584.0,1.01
Gujarat,Aravalli,Kharif,2018 - 2019,Bajra,1032.0,1608.0,1.56
Gujarat,Aravalli,Kharif,2018 - 2019,Castor seed,22081.0,33209.0,1.5
Gujarat,Aravalli,Kharif,2018 - 2019,Cotton(lint),44495.0,180079.0,4.05
Gujarat,Aravalli,Rabi,2018 - 2019,Gram,4393.0,3817.0,0.87
Gujarat,Aravalli,Kharif,2018 - 2019,Groundnut,36172.0,99623.0,2.75
Gujarat,Aravalli,Whole Year,2018 - 2019,Guar seed,3131.0,2348.0,0.75
Gujarat,Aravalli,Kharif,2018 - 2019,Moong(Green Gram),1025.0,342.0,0.33
Gujarat,Aravalli,Kharif,2018 - 2019,Moth,14.0,1.0,0.07
Gujarat,Aravalli,Kharif,2018 - 2019,Other Kharif pulses,115.0,67.0,0.58
Gujarat,Aravalli,Rabi,2018 - 2019,Rapeseed &Mustard,963.0,1556.0,1.62
Gujarat,Aravalli,Kharif,2018 - 2019,Rice,1625.0,3979.0,2.45
Gujarat,Aravalli,Kharif,2018 - 2019,Sesamum,432.0,241.0,0.56
Gujarat,Aravalli,Rabi,2018 - 2019,Tobacco,589.0,707.0,1.2
Gujarat,Aravalli,Kharif,2018 - 2019,Urad,10387.0,5723.0,0.55
Gujarat,Aravalli,Rabi,2018 - 2019,Wheat,50889.0,141077.0,2.77
Gujarat,Aravalli,Rabi,2018 - 2019,Other Rabi pulses,2.0,2.0,1.0
Gujarat,Aravalli,Whole Year,2018 - 2019,Potato,18768.0,632082.0,33.68
Gujarat,Aravalli,Rabi,2018 - 2019,Onion,119.0,3358.0,28.22
Gujarat,Aravalli,Kharif,2018 - 2019,Soyabean,17153.0,145438.0,8.48
Gujarat,Aravalli,Whole Year,2018 - 2019,Garlic,81.0,552.0,6.81
Gujarat,Aravalli,Kharif,2018 - 2019,Maize,29879.0,73348.0,2.45
Gujarat,Aravalli,Rabi,2018 - 2019,Maize,6763.0,39225.0,5.8
Gujarat,Aravalli,Rabi,2018 - 2019,Jowar,259.0,334.0,1.29
Gujarat,Aravalli,Kharif,2018 - 2019,Jowar,719.0,961.0,1.34
Gujarat,Aravalli,Kharif,2019 - 2020,Arhar/Tur,5303.0,5195.0,0.98
Gujarat,Aravalli,Kharif,2019 - 2020,Bajra,841.0,1315.0,1.56
Gujarat,Aravalli,Kharif,2019 - 2020,Castor seed,19784.0,26263.0,1.33
Gujarat,Aravalli,Kharif,2019 - 2020,Cotton(lint),32370.0,95104.0,2.94
Gujarat,Aravalli,Rabi,2019 - 2020,Gram,6785.0,8634.0,1.27
Gujarat,Aravalli,Kharif,2019 - 2020,Groundnut,55190.0,114211.0,2.07
Gujarat,Aravalli,Kharif,2019 - 2020,Guar seed,1805.0,2882.0,1.6
Gujarat,Aravalli,Kharif,2019 - 2020,Moong(Green Gram),471.0,302.0,0.64
Gujarat,Aravalli,Kharif,2019 - 2020,Moth,1.0,0.46,0.46
Gujarat,Aravalli,Rabi,2019 - 2020,Rapeseed &Mustard,472.0,824.0,1.75
Gujarat,Aravalli,Kharif,2019 - 2020,Rice,1554.0,2507.0,1.61
Gujarat,Aravalli,Kharif,2019 - 2020,Sesamum,303.0,222.0,0.73
Gujarat,Aravalli,Rabi,2019 - 2020,Tobacco,1681.0,4317.0,2.57
Gujarat,Aravalli,Kharif,2019 - 2020,Urad,10157.0,4100.0,0.4
Gujarat,Aravalli,Rabi,2019 - 2020,Wheat,78409.0,232780.0,2.97
Gujarat,Aravalli,Whole Year,2019 - 2020,Potato,18014.0,495288.0,27.49
Gujarat,Aravalli,Rabi,2019 - 2020,Onion,137.0,4010.0,29.27
