State,District,Season,Year,Crop,Area_Ha,Production_Ton,Yield_TonHa,Start_Year,District_norm,State_norm,latitude,longitude,soil_ph,soil_oc,clay_pct,sand_pct,cec_cmol,avg_temp,humidity_avg,rain_total,solar_avg
Gujarat,Ahmadabad,Kharif,2018 - 2019,Urad,2027.0,225.0,0.11,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.270573770491804,66.95754098360655,477.03,16.61016393442623
Gujarat,Ahmadabad,Rabi,2018 - 2019,Wheat,108703.0,279010.0,2.57,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,23.993461538461535,28.931538461538466,0.21000000000000002,18.595164835164834
Gujarat,Ahmadabad,Kharif,2018 - 2019,Soyabean,2.0,2.0,1.0,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.270573770491804,66.95754098360655,477.03,16.61016393442623
Gujarat,Ahmadabad,Kharif,2019 - 2020,Arhar/Tur,417.0,413.0,0.99,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Kharif,2019 - 2020,Bajra,380.0,945.0,2.49,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Kharif,2019 - 2020,Castor seed,52814.0,95479.0,1.81,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Kharif,2019 - 2020,Cotton(lint),113401.0,183140.0,1.61,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Rabi,2019 - 2020,Gram,37936.0,33974.0,0.9,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,22.27054644808743,59.03371584699454,40.94,17.285737704918034
Gujarat,Ahmadabad,Kharif,2019 - 2020,Groundnut,22.0,61.0,2.77,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Kharif,2019 - 2020,Guar seed,400.0,440.0,1.1,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Kharif,2019 - 2020,Moong(Green Gram),737.0,490.0,0.66,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Kharif,2019 - 2020,Moth,1090.0,482.0,0.44,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Kharif,2019 - 2020,Other Kharif pulses,15.0,9.0,0.6,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Rabi,2019 - 2020,Rapeseed &Mustard,115.0,222.0,1.93,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,22.27054644808743,59.03371584699454,40.94,17.285737704918034
Gujarat,Ahmadabad,Kharif,2019 - 2020,Rice,133051.0,271922.0,2.04,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Kharif,2019 - 2020,Sesamum,641.0,241.0,0.38,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Kharif,2019 - 2020,Tobacco,22.0,43.0,1.95,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Rabi,2019 - 2020,Tobacco,52.0,134.0,2.58,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,22.27054644808743,59.03371584699454,40.94,17.285737704918034
Gujarat,Ahmadabad,Kharif,2019 - 2020,Urad,370.0,246.0,0.66,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Rabi,2019 - 2020,Wheat,156379.0,420609.0,2.69,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,22.27054644808743,59.03371584699454,40.94,17.285737704918034
Gujarat,Ahmadabad,Whole Year,2019 - 2020,Potato,80.0,2419.0,30.24,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,27.128082191780823,55.14802739726027,977.5600000000001,18.74295890410959
Gujarat,Ahmadabad,Kharif,2019 - 2020,Maize,5.0,7.0,1.4,2019,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.26483606557377,73.04418032786884,940.27,16.461967213114754
Gujarat,Ahmadabad,Kharif,2020 - 2021,Arhar/Tur,6182.0,7331.0,1.19,2020,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.612622950819674,77.65426229508196,956.96,17.630409836065574
Gujarat,Ahmadabad,Kharif,2020 - 2021,Bajra,478.0,733.0,1.53,2020,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.612622950819674,77.65426229508196,956.96,17.630409836065574
Gujarat,Ahmadabad,Kharif,2020 - 2021,Castor seed,47571.0,84643.0,1.78,2020,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.612622950819674,77.65426229508196,956.96,17.630409836065574
Gujarat,Ahmadabad,Kharif,2020 - 2021,Cotton(lint),115728.0,186397.0,1.61,2020,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.612622950819674,77.65426229508196,956.96,17.630409836065574
Gujarat,Ahmadabad,Rabi,2020 - 2021,Gram,50929.0,43866.0,0.86,2020,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,23.52214285714286,46.3515934065934,15.139999999999999,18.08692307692308
Gujarat,Ahmadabad,Kharif,2020 - 2021,Groundnut,182.0,346.0,1.9,2020,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.612622950819674,77.65426229508196,956.96,17.630409836065574
Gujarat,Ahmadabad,Kharif,2020 - 2021,Guar seed,353.0,292.0,0.83,2020,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.612622950819674,77.65426229508196,956.96,17.630409836065574
Gujarat,Ahmadabad,Kharif,2020 - 2021,Moong(Green Gram),2120.0,1401.0,0.66,2020,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.612622950819674,77.65426229508196,956.96,17.630409836065574
Gujarat,Ahmadabad,Kharif,2020 - 2021,Moth,4002.0,2405.0,0.6,2020,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.612622950819674,77.65426229508196,956.96,17.630409836065574
Gujarat,Ahmadabad,Rabi,2020 - 2021,Rapeseed &Mustard,251.0,496.0,1.98,2020,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,23.52214285714286,46.3515934065934,15.139999999999999,18.08692307692308
