State,District,Latitude,Longitude
Bihar,Patna,25.467225075000016,85.18558973907824
Bihar,Purba Champaran,26.6383743290001,84.8922288849811
Bihar,Purnia,25.778595924000115,87.40714116943414
Bihar,Rohtas,24.940095902500104,84.01440753957398
Bihar,Saharsa,25.83835601850015,86.60568698900934
Bihar,Samastipur,25.779476166500075,86.00100278375697
Bihar,Saran,25.923024178000162,84.76682847505015
Bihar,Sheikhpura,25.12562084200016,85.80442167931378
Bihar,Sheohar,26.48793602050003,85.32055430579364
Bihar,Sitamarhi,26.573600961500148,85.5819698504761
Bihar,Siwan,26.132385255000116,84.38311788118521
Bihar,Supaul,26.27734088950004,86.77397484987804
Bihar,Vaishali,25.74736690550006,85.39117988005654
Chandigarh,Chandigarh,30.73388576500011,76.76733253808752
Chhattisgarh,Balod,20.691306114500094,81.15800274094
Chhattisgarh,Baloda Bazar,21.570369721000105,82.43351467613475
Chhattisgarh,Balrampur,23.62648487150014,83.47222324129605
Chhattisgarh,Bastar,19.073195457500077,81.84668663278507
Chhattisgarh,Bemetara,21.67732524900009,81.42693435026574
Chhattisgarh,Bijapur,18.766901970000106,80.73412865573542
Chhattisgarh,Bilaspur,22.412880897500173,82.05010382725771
Chhattisgarh,Dantewada,18.836734772000028,81.40135927199918
Chhattisgarh,Dhamtari,20.533934593000055,81.70945486545791
Chhattisgarh,Durg,21.157074928000043,81.40445914790844
Chhattisgarh,Gariaband,20.35936546250008,82.23724001903355
Chhattisgarh,Janjgir-Champa,21.96609497050008,82.65909353335309
Chhattisgarh,Jashpur,22.76824569650006,83.96749039699256
Chhattisgarh,Kabeerdham,22.11290931750011,81.2378010548373
Chhattisgarh,Kondagaon,19.70443534900008,81.7340416437606
Chhattisgarh,Korba,22.515335083500133,82.62870968091912
Chhattisgarh,Koriya,23.429061890500037,82.31126881547863
Chhattisgarh,Mahasamund,21.186055183500116,82.610545241339
Chhattisgarh,Mungeli,22.245666504500036,81.64857641232712
Chhattisgarh,Narayanpur,19.58375072550004,81.1079046316561
Chhattisgarh,Raigarh,22.064014435000075,83.30227699174168
Chhattisgarh,Raipur,21.200962067000063,81.80542966426009
Chhattisgarh,Rajnandgaon,20.97052955650011,80.69022009670448
Chhattisgarh,Sukma,18.267670631500067,81.30208995046004
Chhattisgarh,Surajpur,23.356885909500107,82.9667757137536
Chhattisgarh,Surguja,22.945745467500075,83.16243765839732
Chhattisgarh,Uttar Bastar Kanker,20.12226581600015,80.9779703910744
Dadra and Nagar Haveli,Dadra and Nagar Haveli,20.206290246000037,73.01858778227916
Daman and Diu,Daman,20.41872233900014,72.84543220703563
Daman and Diu,Diu,20.717639923500087,70.94340706533613
Goa,North Goa,15.532086373000055,74.02210666614664
Goa,South Goa,15.192361832000017,74.1264621732956
Gujarat,Ahmadabad,22.75794003300004,72.29946762308398
Gujarat,Amreli,21.429319381500164,71.28707034034615
Gujarat,Anand,22.4681549070001,72.743034188808
Gujarat,Aravalli,23.490056037500096,73.40412421719014
Gujarat,Banas Kantha,24.262717247500092,72.17697151932978
Gujarat,Bharuch,21.83361053450008,72.87198053338506
Gujarat,Bhavnagar,21.565278000000063,71.91575243896332
Gujarat,Botad,22.017161369500087,71.63200502739195
Gujarat,Chhota Udaipur,22.221559524000043,73.78446587715175
Gujarat,Dahod,22.823036193500172,74.15700852940755
Gujarat,Devbhumi Dwarka,22.13171200000008,69.44644814406792
Gujarat,Gandhinagar,23.210023881500064,72.71735422984435
Gujarat,Gir Somnath,20.936665536000078,70.6000715617207
Gujarat,Jamnagar,22.32828426350008,70.15422411962172
Gujarat,Junagadh,21.18930721200013,70.43132308169967
Gujarat,Kachchh,23.704030000000103,69.8105009818523
